Close,High,Low,Open,Date,Volume
0.32596167,0.34537626,0.26706741,0.30372583,18-04-2021,14518479246
0.31387909,0.35443295,0.31387909,0.35443295,17-04-2021,51222207135
0.20423106,0.21321115,0.135264,0.13884566,16-04-2021,48628881409
0.18121614,0.18988116,0.1204675,0.12246324,15-04-2021,21925194741
0.12365066,0.14820844,0.0935555,0.09612397,14-04-2021,25764023464
0.09381815,0.09552192,0.07115828,0.07136712,13-04-2021,8339483884
0.07174924,0.07687516,0.06980632,0.07544494,12-04-2021,3230769945
0.07476455,0.08056264,0.06398123,0.06442087,11-04-2021,7400166193
0.06456375,0.06595793,0.06170916,0.0624922,10-04-2021,1597175691
0.06282469,0.06544822,0.06151311,0.06294961,09-04-2021,1378202689
0.06275467,0.06339491,0.05953554,0.05990077,08-04-2021,1396999897
0.05998606,0.06922612,0.05702443,0.06565343,07-04-2021,3587258446
0.06532548,0.06709487,0.05881927,0.06105184,06-04-2021,3482576404
0.06124639,0.06237953,0.05727446,0.05832825,05-04-2021,2169122204
0.05796695,0.05926601,0.05595678,0.05659677,04-04-2021,1459641978
0.05684885,0.06100261,0.056656,0.05904109,03-04-2021,1670328534
0.05816582,0.06351434,0.05772932,0.06263085,02-04-2021,2592342909
0.06269749,0.07269484,0.05393406,0.0541567,01-04-2021,7171562899
0.05382154,0.05467041,0.05159113,0.05409486,31-03-2021,1096408037
0.05415312,0.05577132,0.05368689,0.05423208,30-03-2021,1172420263
0.05412032,0.05482573,0.05322695,0.05378618,29-03-2021,935395380
0.05366048,0.05489438,0.05302035,0.05442855,28-03-2021,845528074
0.05439612,0.05546945,0.0533413,0.05391508,27-03-2021,1120517740
0.05399785,0.05417176,0.05137011,0.05147511,26-03-2021,916314140
0.0514273,0.05278387,0.04977967,0.05185251,25-03-2021,1422087889
0.05196777,0.05686561,0.0512119,0.05367787,24-03-2021,1205263147
0.05378236,0.0564532,0.05291241,0.05525609,23-03-2021,1106461281
0.05502405,0.05792486,0.05454301,0.05734335,22-03-2021,933237559
0.05820051,0.06030622,0.05735369,0.05940642,21-03-2021,993662153
0.05927771,0.0612362,0.05825638,0.05871008,20-03-2021,1204608326
0.05839433,0.05995476,0.05647184,0.05753608,19-03-2021,1151382976
0.05746123,0.05929792,0.05699875,0.05790745,18-03-2021,1121222009
0.05783967,0.05906958,0.05648292,0.05871269,17-03-2021,1102033556
0.05871913,0.05921463,0.05544777,0.05704185,16-03-2021,1687859532
0.05713665,0.05999565,0.05506701,0.05841818,15-03-2021,2019305500
0.05845138,0.06373488,0.05822253,0.06247542,14-03-2021,3102189648
0.06238338,0.06264506,0.05467378,0.05533197,13-03-2021,2290213218
0.05548929,0.05737538,0.0543784,0.05607465,12-03-2021,1593502436
0.05586889,0.05696565,0.05433628,0.05597245,11-03-2021,1600519636
0.05594808,0.05877163,0.05445055,0.05794486,10-03-2021,1930072213
0.05771727,0.0628582,0.05568817,0.06259073,09-03-2021,2818481688
0.0626891,0.06300107,0.05163913,0.05209469,08-03-2021,4255275379
0.05192368,0.05236554,0.05040476,0.05095989,07-03-2021,1158465912
0.05095869,0.05261121,0.04915794,0.04954042,06-03-2021,1799358982
0.04961294,0.05115163,0.04813848,0.0501206,05-03-2021,1560292850
0.05015958,0.05134181,0.04786645,0.05053988,04-03-2021,1520320325
0.05057487,0.05230228,0.05004059,0.05057289,03-03-2021,1391397434
0.05057092,0.0526653,0.04929801,0.05070368,02-03-2021,1660524281
0.05060855,0.05244589,0.0478945,0.0482923,01-03-2021,1886983460
0.04822056,0.05040364,0.04487177,0.05017584,28-02-2021,1839162728
0.05023359,0.05217653,0.04928306,0.05069824,27-02-2021,1662314243
0.05064865,0.05276839,0.04862964,0.05025379,26-02-2021,2107545525
0.05182493,0.08658661,0.05033149,0.0676742,25-02-2021,3167309723
0.05678525,0.0763299,0.0464904,0.05437796,24-02-2021,5235136033
0.04729293,0.05382878,0.03915901,0.05345923,23-02-2021,2714399930
0.05366332,0.06089581,0.04664169,0.05594688,22-02-2021,3844184995
0.0560674,0.05968982,0.05331433,0.05442133,21-02-2021,2979501668
0.05432262,0.0608289,0.0512397,0.05511103,20-02-2021,3658347274
0.05506991,0.06014898,0.05376497,0.0587721,19-02-2021,3354855193
0.05877316,0.06386411,0.04807801,0.04961023,18-02-2021,5126372295
0.04960345,0.05529813,0.04794349,0.05368956,17-02-2021,2568634442
0.05366451,0.0600262,0.05084604,0.05674478,16-02-2021,3016222561
0.05664133,0.06429976,0.04732127,0.06252206,15-02-2021,4887989360
0.06261793,0.06685109,0.0558228,0.06655764,14-02-2021,3861038976
0.06651141,0.07184294,0.06581713,0.0697764,13-02-2021,2490260048
0.06985453,0.07309939,0.06106761,0.06979741,12-02-2021,3965088014
0.0697794,0.07568091,0.06816313,0.07298642,11-02-2021,3614824612
0.07276916,0.08170613,0.06672456,0.07012964,10-02-2021,6690509505
0.070174,0.08398014,0.06381103,0.07891811,09-02-2021,6529498556
0.07884683,0.08594246,0.06376713,0.07864008,08-02-2021,11646581650
0.07817614,0.08672813,0.05336059,0.0576198,07-02-2021,14438831338
0.05757215,0.05868454,0.04455635,0.04689723,06-02-2021,5883240063
0.04674722,0.05445979,0.04304259,0.05283404,05-02-2021,5350433805
0.0528768,0.05934694,0.03564621,0.03705526,04-02-2021,12682773624
0.03689334,0.03972905,0.03084683,0.03143633,03-02-2021,2890203050
0.03139988,0.03564648,0.02894687,0.03502225,02-02-2021,2620447218
0.03503255,0.04388077,0.03278009,0.03677874,01-02-2021,5279870624
0.03690705,0.04824828,0.02659953,0.02821995,31-01-2021,8236688157
0.02835622,0.05084036,0.02196525,0.04621153,30-01-2021,7447995023
0.04622248,0.08545541,0.03041121,0.03600898,29-01-2021,21802011544
0.03593646,0.03696566,0.007458,0.00758092,28-01-2021,19081256527
0.00743915,0.00826988,0.00726364,0.00825772,27-01-2021,239330227
0.00825886,0.0084884,0.00795087,0.00836737,26-01-2021,222970028
0.00837588,0.00892022,0.00814725,0.00873975,25-01-2021,243976263
0.00874434,0.0089892,0.0084835,0.00858033,24-01-2021,256469982
0.00856993,0.00885278,0.00832264,0.0084996,23-01-2021,267712080
0.0085116,0.00880135,0.00760666,0.00825175,22-01-2021,298292627
0.00821918,0.00908386,0.00800904,0.00901319,21-01-2021,306332141
0.00905033,0.00917221,0.00850419,0.00904552,20-01-2021,328933247
0.00905283,0.00968077,0.00896399,0.00917316,19-01-2021,330851291
0.00917383,0.00933251,0.00893011,0.0091381,18-01-2021,303884548
0.00912927,0.00941223,0.0087121,0.00922891,17-01-2021,352598223
0.00923104,0.0095723,0.00901043,0.00932127,16-01-2021,361490258
0.00933659,0.00985892,0.00831604,0.00939947,15-01-2021,440841735
0.00938748,0.01011938,0.00831267,0.00867299,14-01-2021,456226639
0.00864403,0.00870476,0.00776521,0.00810076,13-01-2021,296982799
0.00809177,0.00914406,0.00773281,0.00875607,12-01-2021,361883602
0.00879706,0.00987698,0.00677026,0.00979872,11-01-2021,626672424
0.00981436,0.01088934,0.00900523,0.01017289,10-01-2021,469749163
0.01019747,0.01084667,0.00955574,0.0097649,09-01-2021,510048283
